StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,95,Dougherty,I) (Dem,Gregory W. Edwards,Absentee by Mail Votes,9362
13,95,Dougherty,I) (Dem,Gregory W. Edwards,Advanced Voting Votes,11436
13,95,Dougherty,I) (Dem,Gregory W. Edwards,Election Day Votes,10008
13,95,Dougherty,I) (Dem,Gregory W. Edwards,Provisional Votes,94
13,95,Dougherty,I) (Dem,Gregory W. Edwards,TOTAL VOTES,30900
