StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,73,Columbia,Dem,Doris O. Crutchfield,Absentee by Mail Votes,3763
13,73,Columbia,Dem,Doris O. Crutchfield,Advanced Voting Votes,5892
13,73,Columbia,Dem,Doris O. Crutchfield,Election Day Votes,1560
13,73,Columbia,Dem,Doris O. Crutchfield,Provisional Votes,9
13,73,Columbia,Dem,Doris O. Crutchfield,TOTAL VOTES,11224
13,73,Columbia,I) (Rep,Jodi Lott,Absentee by Mail Votes,3987
13,73,Columbia,I) (Rep,Jodi Lott,Advanced Voting Votes,16059
13,73,Columbia,I) (Rep,Jodi Lott,Election Day Votes,6016
13,73,Columbia,I) (Rep,Jodi Lott,Provisional Votes,19
13,73,Columbia,I) (Rep,Jodi Lott,TOTAL VOTES,26081
