StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,89,DeKalb,I) (Dem,Doreen Carter,Absentee by Mail Votes,3175
13,89,DeKalb,I) (Dem,Doreen Carter,Advanced Voting Votes,6199
13,89,DeKalb,I) (Dem,Doreen Carter,Election Day Votes,1699
13,89,DeKalb,I) (Dem,Doreen Carter,Provisional Votes,27
13,89,DeKalb,I) (Dem,Doreen Carter,TOTAL VOTES,11100
13,247,Rockdale,I) (Dem,Doreen Carter,Absentee by Mail Votes,2875
13,247,Rockdale,I) (Dem,Doreen Carter,Advanced Voting Votes,5537
13,247,Rockdale,I) (Dem,Doreen Carter,Election Day Votes,1471
13,247,Rockdale,I) (Dem,Doreen Carter,Provisional Votes,6
13,247,Rockdale,I) (Dem,Doreen Carter,TOTAL VOTES,9889
