StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,139,Hall,I) (Rep,Matt Dubnik,Absentee by Mail Votes,3317
13,139,Hall,I) (Rep,Matt Dubnik,Advanced Voting Votes,7439
13,139,Hall,I) (Rep,Matt Dubnik,Election Day Votes,2112
13,139,Hall,I) (Rep,Matt Dubnik,Provisional Votes,0
13,139,Hall,I) (Rep,Matt Dubnik,TOTAL VOTES,12868
13,139,Hall,Dem,Pat Calmes,Absentee by Mail Votes,2634
13,139,Hall,Dem,Pat Calmes,Advanced Voting Votes,3094
13,139,Hall,Dem,Pat Calmes,Election Day Votes,1218
13,139,Hall,Dem,Pat Calmes,Provisional Votes,0
13,139,Hall,Dem,Pat Calmes,TOTAL VOTES,6946
