StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,151,Henry,I) (Rep,Dale Rutledge,Absentee by Mail Votes,2189
13,151,Henry,I) (Rep,Dale Rutledge,Advanced Voting Votes,8474
13,151,Henry,I) (Rep,Dale Rutledge,Election Day Votes,2615
13,151,Henry,I) (Rep,Dale Rutledge,Provisional Votes,3
13,151,Henry,I) (Rep,Dale Rutledge,TOTAL VOTES,13281
13,151,Henry,Dem,Regina Lewis-Ward,Absentee by Mail Votes,3787
13,151,Henry,Dem,Regina Lewis-Ward,Advanced Voting Votes,8058
13,151,Henry,Dem,Regina Lewis-Ward,Election Day Votes,1536
13,151,Henry,Dem,Regina Lewis-Ward,Provisional Votes,0
13,151,Henry,Dem,Regina Lewis-Ward,TOTAL VOTES,13381
13,217,Newton,I) (Rep,Dale Rutledge,Absentee by Mail Votes,135
13,217,Newton,I) (Rep,Dale Rutledge,Advanced Voting Votes,377
13,217,Newton,I) (Rep,Dale Rutledge,Election Day Votes,330
13,217,Newton,I) (Rep,Dale Rutledge,Provisional Votes,0
13,217,Newton,I) (Rep,Dale Rutledge,TOTAL VOTES,842
13,217,Newton,Dem,Regina Lewis-Ward,Absentee by Mail Votes,336
13,217,Newton,Dem,Regina Lewis-Ward,Advanced Voting Votes,458
13,217,Newton,Dem,Regina Lewis-Ward,Election Day Votes,211
13,217,Newton,Dem,Regina Lewis-Ward,Provisional Votes,0
13,217,Newton,Dem,Regina Lewis-Ward,TOTAL VOTES,1005
13,247,Rockdale,I) (Rep,Dale Rutledge,Absentee by Mail Votes,378
13,247,Rockdale,I) (Rep,Dale Rutledge,Advanced Voting Votes,990
13,247,Rockdale,I) (Rep,Dale Rutledge,Election Day Votes,334
13,247,Rockdale,I) (Rep,Dale Rutledge,Provisional Votes,0
13,247,Rockdale,I) (Rep,Dale Rutledge,TOTAL VOTES,1702
13,247,Rockdale,Dem,Regina Lewis-Ward,Absentee by Mail Votes,766
13,247,Rockdale,Dem,Regina Lewis-Ward,Advanced Voting Votes,1532
13,247,Rockdale,Dem,Regina Lewis-Ward,Election Day Votes,324
13,247,Rockdale,Dem,Regina Lewis-Ward,Provisional Votes,0
13,247,Rockdale,Dem,Regina Lewis-Ward,TOTAL VOTES,2622
