StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,87,Decatur,Dem,Booker T. Gainor,Absentee by Mail Votes,467
13,87,Decatur,Dem,Booker T. Gainor,Advanced Voting Votes,574
13,87,Decatur,Dem,Booker T. Gainor,Election Day Votes,257
13,87,Decatur,Dem,Booker T. Gainor,Provisional Votes,0
13,87,Decatur,Dem,Booker T. Gainor,TOTAL VOTES,1298
13,87,Decatur,I) (Rep,Darlene Taylor,Absentee by Mail Votes,320
13,87,Decatur,I) (Rep,Darlene Taylor,Advanced Voting Votes,1229
13,87,Decatur,I) (Rep,Darlene Taylor,Election Day Votes,674
13,87,Decatur,I) (Rep,Darlene Taylor,Provisional Votes,2
13,87,Decatur,I) (Rep,Darlene Taylor,TOTAL VOTES,2225
13,131,Grady,Dem,Booker T. Gainor,Absentee by Mail Votes,1032
13,131,Grady,Dem,Booker T. Gainor,Advanced Voting Votes,1883
13,131,Grady,Dem,Booker T. Gainor,Election Day Votes,736
13,131,Grady,Dem,Booker T. Gainor,Provisional Votes,0
13,131,Grady,Dem,Booker T. Gainor,TOTAL VOTES,3651
13,131,Grady,I) (Rep,Darlene Taylor,Absentee by Mail Votes,1148
13,131,Grady,I) (Rep,Darlene Taylor,Advanced Voting Votes,3845
13,131,Grady,I) (Rep,Darlene Taylor,Election Day Votes,1916
13,131,Grady,I) (Rep,Darlene Taylor,Provisional Votes,0
13,131,Grady,I) (Rep,Darlene Taylor,TOTAL VOTES,6909
13,275,Thomas,Dem,Booker T. Gainor,Absentee by Mail Votes,1303
13,275,Thomas,Dem,Booker T. Gainor,Advanced Voting Votes,2761
13,275,Thomas,Dem,Booker T. Gainor,Election Day Votes,742
13,275,Thomas,Dem,Booker T. Gainor,Provisional Votes,2
13,275,Thomas,Dem,Booker T. Gainor,TOTAL VOTES,4808
13,275,Thomas,I) (Rep,Darlene Taylor,Absentee by Mail Votes,795
13,275,Thomas,I) (Rep,Darlene Taylor,Advanced Voting Votes,3512
13,275,Thomas,I) (Rep,Darlene Taylor,Election Day Votes,819
13,275,Thomas,I) (Rep,Darlene Taylor,Provisional Votes,0
13,275,Thomas,I) (Rep,Darlene Taylor,TOTAL VOTES,5126
