StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,93,Dooly,I) (Dem,Patty Bentley,Absentee by Mail Votes,589
13,93,Dooly,I) (Dem,Patty Bentley,Advanced Voting Votes,1762
13,93,Dooly,I) (Dem,Patty Bentley,Election Day Votes,753
13,93,Dooly,I) (Dem,Patty Bentley,Provisional Votes,2
13,93,Dooly,I) (Dem,Patty Bentley,TOTAL VOTES,3106
13,193,Macon,I) (Dem,Patty Bentley,Absentee by Mail Votes,743
13,193,Macon,I) (Dem,Patty Bentley,Advanced Voting Votes,1965
13,193,Macon,I) (Dem,Patty Bentley,Election Day Votes,859
13,193,Macon,I) (Dem,Patty Bentley,Provisional Votes,0
13,193,Macon,I) (Dem,Patty Bentley,TOTAL VOTES,3567
13,225,Peach,I) (Dem,Patty Bentley,Absentee by Mail Votes,1133
13,225,Peach,I) (Dem,Patty Bentley,Advanced Voting Votes,2389
13,225,Peach,I) (Dem,Patty Bentley,Election Day Votes,658
13,225,Peach,I) (Dem,Patty Bentley,Provisional Votes,4
13,225,Peach,I) (Dem,Patty Bentley,TOTAL VOTES,4184
13,269,Taylor,I) (Dem,Patty Bentley,Absentee by Mail Votes,617
13,269,Taylor,I) (Dem,Patty Bentley,Advanced Voting Votes,1691
13,269,Taylor,I) (Dem,Patty Bentley,Election Day Votes,486
13,269,Taylor,I) (Dem,Patty Bentley,Provisional Votes,7
13,269,Taylor,I) (Dem,Patty Bentley,TOTAL VOTES,2801
