StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,45,Carroll,I) (Rep,J. Collins,Absentee by Mail Votes,3126
13,45,Carroll,I) (Rep,J. Collins,Advanced Voting Votes,12495
13,45,Carroll,I) (Rep,J. Collins,Election Day Votes,5802
13,45,Carroll,I) (Rep,J. Collins,Provisional Votes,3
13,45,Carroll,I) (Rep,J. Collins,TOTAL VOTES,21426
13,97,Douglas,I) (Rep,J. Collins,Absentee by Mail Votes,602
13,97,Douglas,I) (Rep,J. Collins,Advanced Voting Votes,2233
13,97,Douglas,I) (Rep,J. Collins,Election Day Votes,469
13,97,Douglas,I) (Rep,J. Collins,Provisional Votes,0
13,97,Douglas,I) (Rep,J. Collins,TOTAL VOTES,3304
