StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,127,Glynn,Rep,Buddy Deloach,Absentee by Mail Votes,2067
13,127,Glynn,Rep,Buddy Deloach,Advanced Voting Votes,7289
13,127,Glynn,Rep,Buddy Deloach,Election Day Votes,2184
13,127,Glynn,Rep,Buddy Deloach,Provisional Votes,8
13,127,Glynn,Rep,Buddy Deloach,TOTAL VOTES,11548
13,183,Long,Rep,Buddy Deloach,Absentee by Mail Votes,502
13,183,Long,Rep,Buddy Deloach,Advanced Voting Votes,2719
13,183,Long,Rep,Buddy Deloach,Election Day Votes,1342
13,183,Long,Rep,Buddy Deloach,Provisional Votes,13
13,183,Long,Rep,Buddy Deloach,TOTAL VOTES,4576
13,191,McIntosh,Rep,Buddy Deloach,Absentee by Mail Votes,1135
13,191,McIntosh,Rep,Buddy Deloach,Advanced Voting Votes,2841
13,191,McIntosh,Rep,Buddy Deloach,Election Day Votes,1034
13,191,McIntosh,Rep,Buddy Deloach,Provisional Votes,1
13,191,McIntosh,Rep,Buddy Deloach,TOTAL VOTES,5011
