StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,135,Gwinnett,Rep,Michael McConnell,Absentee by Mail Votes,2840
13,135,Gwinnett,Rep,Michael McConnell,Advanced Voting Votes,5398
13,135,Gwinnett,Rep,Michael McConnell,Election Day Votes,2268
13,135,Gwinnett,Rep,Michael McConnell,Provisional Votes,8
13,135,Gwinnett,Rep,Michael McConnell,TOTAL VOTES,10514
13,135,Gwinnett,I) (Dem,Shelly Hutchinson,Absentee by Mail Votes,5529
13,135,Gwinnett,I) (Dem,Shelly Hutchinson,Advanced Voting Votes,8547
13,135,Gwinnett,I) (Dem,Shelly Hutchinson,Election Day Votes,2639
13,135,Gwinnett,I) (Dem,Shelly Hutchinson,Provisional Votes,15
13,135,Gwinnett,I) (Dem,Shelly Hutchinson,TOTAL VOTES,16730
