StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,135,Gwinnett,I) (Rep,Bonnie Rich,Absentee by Mail Votes,4365
13,135,Gwinnett,I) (Rep,Bonnie Rich,Advanced Voting Votes,9200
13,135,Gwinnett,I) (Rep,Bonnie Rich,Election Day Votes,3350
13,135,Gwinnett,I) (Rep,Bonnie Rich,Provisional Votes,14
13,135,Gwinnett,I) (Rep,Bonnie Rich,TOTAL VOTES,16929
13,135,Gwinnett,Dem,Mary Blackmon Campbell,Absentee by Mail Votes,6160
13,135,Gwinnett,Dem,Mary Blackmon Campbell,Advanced Voting Votes,7481
13,135,Gwinnett,Dem,Mary Blackmon Campbell,Election Day Votes,1868
13,135,Gwinnett,Dem,Mary Blackmon Campbell,Provisional Votes,11
13,135,Gwinnett,Dem,Mary Blackmon Campbell,TOTAL VOTES,15520
