StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,57,Cherokee,Dem,Charles Ravenscraft,Absentee by Mail Votes,2129
13,57,Cherokee,Dem,Charles Ravenscraft,Advanced Voting Votes,2258
13,57,Cherokee,Dem,Charles Ravenscraft,Election Day Votes,628
13,57,Cherokee,Dem,Charles Ravenscraft,Provisional Votes,0
13,57,Cherokee,Dem,Charles Ravenscraft,TOTAL VOTES,5015
13,57,Cherokee,I) (Rep,Wes Cantrell,Absentee by Mail Votes,4213
13,57,Cherokee,I) (Rep,Wes Cantrell,Advanced Voting Votes,13267
13,57,Cherokee,I) (Rep,Wes Cantrell,Election Day Votes,4631
13,57,Cherokee,I) (Rep,Wes Cantrell,Provisional Votes,2
13,57,Cherokee,I) (Rep,Wes Cantrell,TOTAL VOTES,22113
13,117,Forsyth,Dem,Charles Ravenscraft,Absentee by Mail Votes,1967
13,117,Forsyth,Dem,Charles Ravenscraft,Advanced Voting Votes,2702
13,117,Forsyth,Dem,Charles Ravenscraft,Election Day Votes,546
13,117,Forsyth,Dem,Charles Ravenscraft,Provisional Votes,2
13,117,Forsyth,Dem,Charles Ravenscraft,TOTAL VOTES,5217
13,117,Forsyth,I) (Rep,Wes Cantrell,Absentee by Mail Votes,1652
13,117,Forsyth,I) (Rep,Wes Cantrell,Advanced Voting Votes,5075
13,117,Forsyth,I) (Rep,Wes Cantrell,Election Day Votes,1093
13,117,Forsyth,I) (Rep,Wes Cantrell,Provisional Votes,2
13,117,Forsyth,I) (Rep,Wes Cantrell,TOTAL VOTES,7822
13,121,Fulton,Dem,Charles Ravenscraft,Absentee by Mail Votes,285
13,121,Fulton,Dem,Charles Ravenscraft,Advanced Voting Votes,376
13,121,Fulton,Dem,Charles Ravenscraft,Election Day Votes,69
13,121,Fulton,Dem,Charles Ravenscraft,Provisional Votes,0
13,121,Fulton,Dem,Charles Ravenscraft,TOTAL VOTES,730
13,121,Fulton,I) (Rep,Wes Cantrell,Absentee by Mail Votes,367
13,121,Fulton,I) (Rep,Wes Cantrell,Advanced Voting Votes,1212
13,121,Fulton,I) (Rep,Wes Cantrell,Election Day Votes,382
13,121,Fulton,I) (Rep,Wes Cantrell,Provisional Votes,2
13,121,Fulton,I) (Rep,Wes Cantrell,TOTAL VOTES,1963
