StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,63,Clayton,I) (Dem,Demetrius Douglas,Absentee by Mail Votes,5144
13,63,Clayton,I) (Dem,Demetrius Douglas,Advanced Voting Votes,10509
13,63,Clayton,I) (Dem,Demetrius Douglas,Election Day Votes,2805
13,63,Clayton,I) (Dem,Demetrius Douglas,Provisional Votes,37
13,63,Clayton,I) (Dem,Demetrius Douglas,TOTAL VOTES,18495
13,151,Henry,I) (Dem,Demetrius Douglas,Absentee by Mail Votes,1502
13,151,Henry,I) (Dem,Demetrius Douglas,Advanced Voting Votes,3773
13,151,Henry,I) (Dem,Demetrius Douglas,Election Day Votes,711
13,151,Henry,I) (Dem,Demetrius Douglas,Provisional Votes,1
13,151,Henry,I) (Dem,Demetrius Douglas,TOTAL VOTES,5987
