StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,89,DeKalb,I) (Dem,Karen Bennett,Absentee by Mail Votes,4583
13,89,DeKalb,I) (Dem,Karen Bennett,Advanced Voting Votes,8457
13,89,DeKalb,I) (Dem,Karen Bennett,Election Day Votes,1808
13,89,DeKalb,I) (Dem,Karen Bennett,Provisional Votes,34
13,89,DeKalb,I) (Dem,Karen Bennett,TOTAL VOTES,14882
13,135,Gwinnett,I) (Dem,Karen Bennett,Absentee by Mail Votes,3355
13,135,Gwinnett,I) (Dem,Karen Bennett,Advanced Voting Votes,5758
13,135,Gwinnett,I) (Dem,Karen Bennett,Election Day Votes,1685
13,135,Gwinnett,I) (Dem,Karen Bennett,Provisional Votes,6
13,135,Gwinnett,I) (Dem,Karen Bennett,TOTAL VOTES,10804
