StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,135,Gwinnett,I) (Rep,Chuck Efstration,Absentee by Mail Votes,3401
13,135,Gwinnett,I) (Rep,Chuck Efstration,Advanced Voting Votes,10708
13,135,Gwinnett,I) (Rep,Chuck Efstration,Election Day Votes,3212
13,135,Gwinnett,I) (Rep,Chuck Efstration,Provisional Votes,5
13,135,Gwinnett,I) (Rep,Chuck Efstration,TOTAL VOTES,17326
13,135,Gwinnett,Dem,Nakita Hemingway,Absentee by Mail Votes,5057
13,135,Gwinnett,Dem,Nakita Hemingway,Advanced Voting Votes,9262
13,135,Gwinnett,Dem,Nakita Hemingway,Election Day Votes,2217
13,135,Gwinnett,Dem,Nakita Hemingway,Provisional Votes,11
13,135,Gwinnett,Dem,Nakita Hemingway,TOTAL VOTES,16547
