StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,67,Cobb,I) (Dem,Roger Bruce,Absentee by Mail Votes,774
13,67,Cobb,I) (Dem,Roger Bruce,Advanced Voting Votes,1217
13,67,Cobb,I) (Dem,Roger Bruce,Election Day Votes,436
13,67,Cobb,I) (Dem,Roger Bruce,Provisional Votes,1
13,67,Cobb,I) (Dem,Roger Bruce,TOTAL VOTES,2428
13,97,Douglas,I) (Dem,Roger Bruce,Absentee by Mail Votes,2556
13,97,Douglas,I) (Dem,Roger Bruce,Advanced Voting Votes,4315
13,97,Douglas,I) (Dem,Roger Bruce,Election Day Votes,1437
13,97,Douglas,I) (Dem,Roger Bruce,Provisional Votes,7
13,97,Douglas,I) (Dem,Roger Bruce,TOTAL VOTES,8315
13,121,Fulton,I) (Dem,Roger Bruce,Absentee by Mail Votes,3200
13,121,Fulton,I) (Dem,Roger Bruce,Advanced Voting Votes,8692
13,121,Fulton,I) (Dem,Roger Bruce,Election Day Votes,1195
13,121,Fulton,I) (Dem,Roger Bruce,Provisional Votes,32
13,121,Fulton,I) (Dem,Roger Bruce,TOTAL VOTES,13119
