StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,97,Douglas,I) (Dem,William K. Boddie, Jr.,Absentee by Mail Votes,2374
13,97,Douglas,I) (Dem,William K. Boddie, Jr.,Advanced Voting Votes,4959
13,97,Douglas,I) (Dem,William K. Boddie, Jr.,Election Day Votes,1146
13,97,Douglas,I) (Dem,William K. Boddie, Jr.,Provisional Votes,1
13,97,Douglas,I) (Dem,William K. Boddie, Jr.,TOTAL VOTES,8480
13,121,Fulton,I) (Dem,William K. Boddie, Jr.,Absentee by Mail Votes,4653
13,121,Fulton,I) (Dem,William K. Boddie, Jr.,Advanced Voting Votes,14204
13,121,Fulton,I) (Dem,William K. Boddie, Jr.,Election Day Votes,1965
13,121,Fulton,I) (Dem,William K. Boddie, Jr.,Provisional Votes,89
13,121,Fulton,I) (Dem,William K. Boddie, Jr.,TOTAL VOTES,20911
