StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,67,Cobb,Dem,Connie DiCicco,Absentee by Mail Votes,6870
13,67,Cobb,Dem,Connie DiCicco,Advanced Voting Votes,6202
13,67,Cobb,Dem,Connie DiCicco,Election Day Votes,2541
13,67,Cobb,Dem,Connie DiCicco,Provisional Votes,10
13,67,Cobb,Dem,Connie DiCicco,TOTAL VOTES,15623
13,67,Cobb,I) (Rep,Don L. Parsons,Absentee by Mail Votes,5256
13,67,Cobb,I) (Rep,Don L. Parsons,Advanced Voting Votes,7172
13,67,Cobb,I) (Rep,Don L. Parsons,Election Day Votes,4374
13,67,Cobb,I) (Rep,Don L. Parsons,Provisional Votes,7
13,67,Cobb,I) (Rep,Don L. Parsons,TOTAL VOTES,16809
