StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,51,Chatham,I) (Rep,Bill Hitchens,Absentee by Mail Votes,3123
13,51,Chatham,I) (Rep,Bill Hitchens,Advanced Voting Votes,6093
13,51,Chatham,I) (Rep,Bill Hitchens,Election Day Votes,3233
13,51,Chatham,I) (Rep,Bill Hitchens,Provisional Votes,21
13,51,Chatham,I) (Rep,Bill Hitchens,TOTAL VOTES,12470
13,103,Effingham,I) (Rep,Bill Hitchens,Absentee by Mail Votes,2071
13,103,Effingham,I) (Rep,Bill Hitchens,Advanced Voting Votes,8368
13,103,Effingham,I) (Rep,Bill Hitchens,Election Day Votes,4980
13,103,Effingham,I) (Rep,Bill Hitchens,Provisional Votes,9
13,103,Effingham,I) (Rep,Bill Hitchens,TOTAL VOTES,15428
