StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,113,Fayette,I) (Rep,Karen Mathiak,Absentee by Mail Votes,1087
13,113,Fayette,I) (Rep,Karen Mathiak,Advanced Voting Votes,2167
13,113,Fayette,I) (Rep,Karen Mathiak,Election Day Votes,893
13,113,Fayette,I) (Rep,Karen Mathiak,Provisional Votes,0
13,113,Fayette,I) (Rep,Karen Mathiak,TOTAL VOTES,4147
13,113,Fayette,Dem,William Harris,Absentee by Mail Votes,926
13,113,Fayette,Dem,William Harris,Advanced Voting Votes,1194
13,113,Fayette,Dem,William Harris,Election Day Votes,306
13,113,Fayette,Dem,William Harris,Provisional Votes,0
13,113,Fayette,Dem,William Harris,TOTAL VOTES,2426
13,151,Henry,I) (Rep,Karen Mathiak,Absentee by Mail Votes,603
13,151,Henry,I) (Rep,Karen Mathiak,Advanced Voting Votes,2840
13,151,Henry,I) (Rep,Karen Mathiak,Election Day Votes,490
13,151,Henry,I) (Rep,Karen Mathiak,Provisional Votes,1
13,151,Henry,I) (Rep,Karen Mathiak,TOTAL VOTES,3934
13,151,Henry,Dem,William Harris,Absentee by Mail Votes,1710
13,151,Henry,Dem,William Harris,Advanced Voting Votes,3695
13,151,Henry,Dem,William Harris,Election Day Votes,692
13,151,Henry,Dem,William Harris,Provisional Votes,0
13,151,Henry,Dem,William Harris,TOTAL VOTES,6097
13,255,Spalding,I) (Rep,Karen Mathiak,Absentee by Mail Votes,1428
13,255,Spalding,I) (Rep,Karen Mathiak,Advanced Voting Votes,3605
13,255,Spalding,I) (Rep,Karen Mathiak,Election Day Votes,2519
13,255,Spalding,I) (Rep,Karen Mathiak,Provisional Votes,138
13,255,Spalding,I) (Rep,Karen Mathiak,TOTAL VOTES,7690
13,255,Spalding,Dem,William Harris,Absentee by Mail Votes,1362
13,255,Spalding,Dem,William Harris,Advanced Voting Votes,1683
13,255,Spalding,Dem,William Harris,Election Day Votes,963
13,255,Spalding,Dem,William Harris,Provisional Votes,86
13,255,Spalding,Dem,William Harris,TOTAL VOTES,4094
