StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,67,Cobb,I) (Rep,Ed Setzler,Absentee by Mail Votes,3973
13,67,Cobb,I) (Rep,Ed Setzler,Advanced Voting Votes,7944
13,67,Cobb,I) (Rep,Ed Setzler,Election Day Votes,3265
13,67,Cobb,I) (Rep,Ed Setzler,Provisional Votes,7
13,67,Cobb,I) (Rep,Ed Setzler,TOTAL VOTES,15189
13,67,Cobb,Dem,Kyle Rinaudo,Absentee by Mail Votes,5864
13,67,Cobb,Dem,Kyle Rinaudo,Advanced Voting Votes,6938
13,67,Cobb,Dem,Kyle Rinaudo,Election Day Votes,2093
13,67,Cobb,Dem,Kyle Rinaudo,Provisional Votes,14
13,67,Cobb,Dem,Kyle Rinaudo,TOTAL VOTES,14909
