StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,57,Cherokee,Rep,Charlice Byrd,Absentee by Mail Votes,4595
13,57,Cherokee,Rep,Charlice Byrd,Advanced Voting Votes,12146
13,57,Cherokee,Rep,Charlice Byrd,Election Day Votes,5517
13,57,Cherokee,Rep,Charlice Byrd,Provisional Votes,4
13,57,Cherokee,Rep,Charlice Byrd,TOTAL VOTES,22262
13,57,Cherokee,Dem,Ginny Lennox,Absentee by Mail Votes,4343
13,57,Cherokee,Dem,Ginny Lennox,Advanced Voting Votes,5203
13,57,Cherokee,Dem,Ginny Lennox,Election Day Votes,1869
13,57,Cherokee,Dem,Ginny Lennox,Provisional Votes,1
13,57,Cherokee,Dem,Ginny Lennox,TOTAL VOTES,11416
