StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,39,Camden,I) (Rep,John L. Corbett,Absentee by Mail Votes,422
13,39,Camden,I) (Rep,John L. Corbett,Advanced Voting Votes,1883
13,39,Camden,I) (Rep,John L. Corbett,Election Day Votes,690
13,39,Camden,I) (Rep,John L. Corbett,Provisional Votes,0
13,39,Camden,I) (Rep,John L. Corbett,TOTAL VOTES,2995
13,49,Charlton,I) (Rep,John L. Corbett,Absentee by Mail Votes,440
13,49,Charlton,I) (Rep,John L. Corbett,Advanced Voting Votes,1829
13,49,Charlton,I) (Rep,John L. Corbett,Election Day Votes,1035
13,49,Charlton,I) (Rep,John L. Corbett,Provisional Votes,1
13,49,Charlton,I) (Rep,John L. Corbett,TOTAL VOTES,3305
13,65,Clinch,I) (Rep,John L. Corbett,Absentee by Mail Votes,257
13,65,Clinch,I) (Rep,John L. Corbett,Advanced Voting Votes,1362
13,65,Clinch,I) (Rep,John L. Corbett,Election Day Votes,700
13,65,Clinch,I) (Rep,John L. Corbett,Provisional Votes,1
13,65,Clinch,I) (Rep,John L. Corbett,TOTAL VOTES,2320
13,101,Echols,I) (Rep,John L. Corbett,Absentee by Mail Votes,137
13,101,Echols,I) (Rep,John L. Corbett,Advanced Voting Votes,954
13,101,Echols,I) (Rep,John L. Corbett,Election Day Votes,231
13,101,Echols,I) (Rep,John L. Corbett,Provisional Votes,0
13,101,Echols,I) (Rep,John L. Corbett,TOTAL VOTES,1322
13,185,Lowndes,I) (Rep,John L. Corbett,Absentee by Mail Votes,914
13,185,Lowndes,I) (Rep,John L. Corbett,Advanced Voting Votes,3836
13,185,Lowndes,I) (Rep,John L. Corbett,Election Day Votes,1991
13,185,Lowndes,I) (Rep,John L. Corbett,Provisional Votes,46
13,185,Lowndes,I) (Rep,John L. Corbett,TOTAL VOTES,6787
13,299,Ware,I) (Rep,John L. Corbett,Absentee by Mail Votes,328
13,299,Ware,I) (Rep,John L. Corbett,Advanced Voting Votes,909
13,299,Ware,I) (Rep,John L. Corbett,Election Day Votes,518
13,299,Ware,I) (Rep,John L. Corbett,Provisional Votes,0
13,299,Ware,I) (Rep,John L. Corbett,TOTAL VOTES,1755
